source,target,Year,paper_community,weight,paper_community_n,year_r,rank
3,478,2022,0.0,0.8436942100524902,PAHs,42,0
3,666,2022,0.0,0.8417533040046692,PAHs,42,0
3,29,2022,0.0,0.837742269039154,PAHs,42,0
3,2121,2022,0.0,0.8344435691833496,PAHs,42,0
3,3244,2022,0.0,0.8236048817634583,PAHs,42,0
3,1109,2022,0.0,0.8235738277435303,PAHs,42,0
3,2786,2022,0.0,0.8133609890937805,PAHs,42,0
3,1503,2022,0.0,0.8115718364715576,PAHs,42,0
3,1736,2022,0.0,0.8074972629547119,PAHs,42,0
3,1924,2022,0.0,0.8072125911712646,PAHs,42,0
3,3615,2022,0.0,0.8058229684829712,PAHs,42,0
3,1158,2022,0.0,0.8046483397483826,PAHs,42,0
3,890,2022,0.0,0.8007827401161194,PAHs,42,0
4,445,2022,2.0,0.8210463523864746,2.0,42,0
11,1138,2022,3.0,0.8311247825622559,"Context, tools, modelling, and indicators for IS",42,0
11,2160,2022,3.0,0.8090051412582397,"Context, tools, modelling, and indicators for IS",42,0
12,2041,2022,4.0,0.8266863822937012,"Case studies, development & optimization",42,0
12,2573,2022,4.0,0.8220325708389282,"Case studies, development & optimization",42,0
12,795,2022,4.0,0.8105842471122742,"Case studies, development & optimization",42,0
15,1169,2022,5.0,0.8045633435249329,Air pollution: Particulate matter (PM2.5),42,0
17,448,2022,6.0,0.8064180612564087,6.0,42,0
18,49,2022,7.0,0.8158088326454163,7.0,42,0
20,2287,2022,8.0,0.8066740036010742,8.0,42,0
25,314,2022,9.0,0.877210259437561,9.0,42,0
25,1588,2022,9.0,0.8131877183914185,9.0,42,0
25,332,2022,9.0,0.8018679022789001,9.0,42,0
25,375,2022,9.0,0.8002127408981323,9.0,42,0
25,2700,2022,9.0,0.80016028881073,9.0,42,0
27,126,2022,3.0,0.8787819147109985,"Context, tools, modelling, and indicators for IS",42,0
29,3,2022,0.0,0.837742269039154,PAHs,42,0
39,481,2022,10.0,0.8087247610092163,10.0,42,0
44,1529,2022,11.0,0.8080325126647949,Cancer risk,42,0
49,18,2022,7.0,0.8158088326454163,7.0,42,0
52,3541,2022,12.0,0.8450144529342651,Chinese EIPs,42,0
52,2441,2022,12.0,0.8178030848503113,Chinese EIPs,42,0
52,2540,2022,12.0,0.8115965127944946,Chinese EIPs,42,0
63,1842,2022,13.0,0.8756128549575806,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
63,3619,2022,13.0,0.8282074332237244,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
63,1871,2022,13.0,0.8242001533508301,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
63,2475,2022,13.0,0.8225411176681519,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
63,1099,2022,13.0,0.8125407695770264,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
76,1416,2022,14.0,0.801164448261261,14.0,42,0
81,635,2022,15.0,0.8025081157684326,15.0,42,0
84,301,2022,16.0,0.8718054294586182,16.0,42,0
91,399,2022,17.0,0.8023609519004822,17.0,42,0
92,190,2022,18.0,0.8075312376022339,18.0,42,0
97,113,2022,19.0,0.8199697732925415,19.0,42,0
97,1212,2022,19.0,0.8106380105018616,19.0,42,0
97,2122,2022,19.0,0.8076177835464478,19.0,42,0
97,1405,2022,19.0,0.8029106259346008,19.0,42,0
102,3431,2022,20.0,0.8525517582893372,Heavy metals,42,0
102,812,2022,20.0,0.840773344039917,Heavy metals,42,0
102,2243,2022,20.0,0.8390483260154724,Heavy metals,42,0
102,2122,2022,20.0,0.833821713924408,Heavy metals,42,0
102,1469,2022,20.0,0.833102822303772,Heavy metals,42,0
102,2247,2022,20.0,0.8287263512611389,Heavy metals,42,0
102,3379,2022,20.0,0.8269729614257812,Heavy metals,42,0
102,2307,2022,20.0,0.8222817182540894,Heavy metals,42,0
102,2092,2022,20.0,0.8221563100814819,Heavy metals,42,0
102,1058,2022,20.0,0.8180592060089111,Heavy metals,42,0
102,846,2022,20.0,0.8159339427947998,Heavy metals,42,0
102,2518,2022,20.0,0.8149782419204712,Heavy metals,42,0
102,341,2022,20.0,0.8142193555831909,Heavy metals,42,0
102,3385,2022,20.0,0.81390380859375,Heavy metals,42,0
102,3018,2022,20.0,0.8123511672019958,Heavy metals,42,0
102,884,2022,20.0,0.8120585680007935,Heavy metals,42,0
102,956,2022,20.0,0.8095029592514038,Heavy metals,42,0
102,2885,2022,20.0,0.8090856075286865,Heavy metals,42,0
102,1759,2022,20.0,0.8061367869377136,Heavy metals,42,0
102,2783,2022,20.0,0.8021336197853088,Heavy metals,42,0
102,2204,2022,20.0,0.8008178472518921,Heavy metals,42,0
102,2929,2022,20.0,0.8006150722503662,Heavy metals,42,0
105,1239,2022,21.0,0.8079115152359009,21.0,42,0
107,4122,2022,22.0,0.8088850975036621,22.0,42,0
110,219,2022,23.0,0.8819718360900879,23.0,42,0
110,745,2022,23.0,0.8182079792022705,23.0,42,0
111,510,2022,5.0,0.8827784657478333,Air pollution: Particulate matter (PM2.5),42,0
113,160,2022,19.0,0.838904082775116,19.0,42,0
113,97,2022,19.0,0.8199697732925415,19.0,42,0
117,436,2022,3.0,0.8090397715568542,"Context, tools, modelling, and indicators for IS",42,0
118,1420,2022,20.0,0.8306765556335449,Heavy metals,42,0
126,27,2022,3.0,0.8787819147109985,"Context, tools, modelling, and indicators for IS",42,0
126,2160,2022,3.0,0.8399765491485596,"Context, tools, modelling, and indicators for IS",42,0
126,3901,2022,3.0,0.8377583026885986,"Context, tools, modelling, and indicators for IS",42,0
126,833,2022,3.0,0.8319498300552368,"Context, tools, modelling, and indicators for IS",42,0
126,1093,2022,3.0,0.819405734539032,"Context, tools, modelling, and indicators for IS",42,0
126,1341,2022,3.0,0.8178688287734985,"Context, tools, modelling, and indicators for IS",42,0
126,1619,2022,3.0,0.8165333271026611,"Context, tools, modelling, and indicators for IS",42,0
126,3394,2022,3.0,0.8150110244750977,"Context, tools, modelling, and indicators for IS",42,0
126,2339,2022,3.0,0.812506914138794,"Context, tools, modelling, and indicators for IS",42,0
126,3366,2022,3.0,0.811820387840271,"Context, tools, modelling, and indicators for IS",42,0
126,1138,2022,3.0,0.8031686544418335,"Context, tools, modelling, and indicators for IS",42,0
128,269,2022,24.0,0.8346520066261292,24.0,42,0
137,1784,2022,12.0,0.8654687404632568,Chinese EIPs,42,0
137,1340,2022,12.0,0.8441687226295471,Chinese EIPs,42,0
143,846,2022,20.0,0.8140748739242554,Heavy metals,42,0
143,1104,2022,20.0,0.8095123767852783,Heavy metals,42,0
143,925,2022,20.0,0.8066045641899109,Heavy metals,42,0
146,2298,2022,12.0,0.8114050626754761,Chinese EIPs,42,0
146,4368,2022,12.0,0.8097805976867676,Chinese EIPs,42,0
146,2589,2022,12.0,0.8096160888671875,Chinese EIPs,42,0
146,541,2022,12.0,0.8079530000686646,Chinese EIPs,42,0
146,2295,2022,12.0,0.8040938973426819,Chinese EIPs,42,0
146,3835,2022,12.0,0.8023760914802551,Chinese EIPs,42,0
146,2540,2022,12.0,0.8004440069198608,Chinese EIPs,42,0
149,2487,2022,0.0,0.8567623496055603,PAHs,42,0
149,871,2022,0.0,0.8471490144729614,PAHs,42,0
149,2668,2022,0.0,0.8135340809822083,PAHs,42,0
149,1054,2022,0.0,0.8102553486824036,PAHs,42,0
149,3208,2022,0.0,0.8031786680221558,PAHs,42,0
149,1157,2022,0.0,0.8001761436462402,PAHs,42,0
151,2389,2022,3.0,0.8274897933006287,"Context, tools, modelling, and indicators for IS",42,0
151,880,2022,3.0,0.8157668709754944,"Context, tools, modelling, and indicators for IS",42,0
151,2344,2022,3.0,0.8025037050247192,"Context, tools, modelling, and indicators for IS",42,0
158,464,2022,26.0,0.8375000953674316,26.0,42,0
160,113,2022,19.0,0.838904082775116,19.0,42,0
160,1232,2022,19.0,0.8357521295547485,19.0,42,0
160,369,2022,19.0,0.8096612691879272,19.0,42,0
160,1405,2022,19.0,0.8031195998191833,19.0,42,0
163,1294,2022,3.0,0.8502572178840637,"Context, tools, modelling, and indicators for IS",42,0
163,1808,2022,3.0,0.8196088075637817,"Context, tools, modelling, and indicators for IS",42,0
163,3394,2022,3.0,0.8113154172897339,"Context, tools, modelling, and indicators for IS",42,0
163,1007,2022,3.0,0.8064918518066406,"Context, tools, modelling, and indicators for IS",42,0
165,905,2022,27.0,0.8640239238739014,27.0,42,0
165,2729,2022,27.0,0.8101102113723755,27.0,42,0
178,1885,2022,28.0,0.8340845108032227,"PFAAs, PFCs, PFBA, PFOA",42,0
178,1238,2022,28.0,0.8303803205490112,"PFAAs, PFCs, PFBA, PFOA",42,0
178,2069,2022,28.0,0.8169628381729126,"PFAAs, PFCs, PFBA, PFOA",42,0
178,800,2022,28.0,0.8003931045532227,"PFAAs, PFCs, PFBA, PFOA",42,0
179,1420,2022,20.0,0.8206624984741211,Heavy metals,42,0
179,846,2022,20.0,0.8029618263244629,Heavy metals,42,0
179,1274,2022,20.0,0.8013036251068115,Heavy metals,42,0
189,399,2022,17.0,0.8153215646743774,17.0,42,0
190,92,2022,18.0,0.8075312376022339,18.0,42,0
190,984,2022,18.0,0.8074957728385925,18.0,42,0
198,1476,2022,13.0,0.8029002547264099,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
198,2866,2022,13.0,0.8013938665390015,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
211,1445,2022,30.0,0.8182669878005981,30.0,42,0
212,1267,2022,31.0,0.9017452597618104,31.0,42,0
212,427,2022,31.0,0.8439631462097168,31.0,42,0
213,1613,2022,32.0,0.8003603219985962,32.0,42,0
217,1413,2022,13.0,0.8341025114059448,"Modelling, environmental impact assessment (LCA) of EIPs",42,0
219,110,2022,23.0,0.8819718360900879,23.0,42,0
219,745,2022,23.0,0.8450817465782166,23.0,42,0
219,1375,2022,23.0,0.8307285308837891,23.0,42,0
222,1723,2022,4.0,0.8322576284408569,"Case studies, development & optimization",42,0
222,3835,2022,4.0,0.8266832232475281,"Case studies, development & optimization",42,0
222,2031,2022,4.0,0.8263313174247742,"Case studies, development & optimization",42,0
222,2041,2022,4.0,0.8180633783340454,"Case studies, development & optimization",42,0
222,4368,2022,4.0,0.8020443320274353,"Case studies, development & optimization",42,0
223,3370,2022,20.0,0.8234352469444275,Heavy metals,42,0
226,506,2022,0.0,0.8239119648933411,PAHs,42,0
226,3106,2022,0.0,0.8017615079879761,PAHs,42,0
241,3531,2022,12.0,0.8097249269485474,Chinese EIPs,42,0
248,486,2022,33.0,0.804967999458313,33.0,42,0
267,506,2021,0.0,0.8139081001281738,PAHs,41,1
267,478,2021,0.0,0.8023215532302856,PAHs,41,1
267,2177,2021,0.0,0.8018423318862915,PAHs,41,1
267,1736,2021,0.0,0.8012487888336182,PAHs,41,1
267,1109,2021,0.0,0.8010750412940979,PAHs,41,1
269,128,2021,24.0,0.8346520066261292,24.0,41,1
282,481,2021,10.0,0.8357836008071899,10.0,41,1
282,1229,2021,10.0,0.8084487318992615,10.0,41,1
295,822,2021,34.0,0.8136534094810486,34.0,41,1
301,84,2021,16.0,0.8718054294586182,16.0,41,1
314,25,2021,9.0,0.877210259437561,9.0,41,1
314,1333,2021,9.0,0.8401053547859192,9.0,41,1
314,658,2021,9.0,0.8239109516143799,9.0,41,1
332,1333,2021,9.0,0.8063141703605652,9.0,41,1
332,25,2021,9.0,0.8018679022789001,9.0,41,1
337,4391,2021,35.0,0.8088621497154236,35.0,41,1
338,683,2021,20.0,0.8428735733032227,Heavy metals,41,1
338,846,2021,20.0,0.8319092988967896,Heavy metals,41,1
338,1397,2021,20.0,0.8210626840591431,Heavy metals,41,1
338,2783,2021,20.0,0.8138856887817383,Heavy metals,41,1
338,595,2021,20.0,0.8076335191726685,Heavy metals,41,1
338,2754,2021,20.0,0.804855227470398,Heavy metals,41,1
338,3185,2021,20.0,0.8044965267181396,Heavy metals,41,1
338,3911,2021,20.0,0.8026555776596069,Heavy metals,41,1
338,2307,2021,20.0,0.8018389940261841,Heavy metals,41,1
338,3370,2021,20.0,0.8011389970779419,Heavy metals,41,1
341,3431,2021,20.0,0.8226736783981323,Heavy metals,41,1
341,102,2021,20.0,0.8142193555831909,Heavy metals,41,1
341,1469,2021,20.0,0.8138306140899658,Heavy metals,41,1
341,2122,2021,20.0,0.8120337724685669,Heavy metals,41,1
341,2689,2021,20.0,0.8106938600540161,Heavy metals,41,1
341,1212,2021,20.0,0.8065816760063171,Heavy metals,41,1
364,404,2021,36.0,0.8172039985656738,36.0,41,1
364,1646,2021,36.0,0.810430109500885,36.0,41,1
369,160,2021,19.0,0.8096612691879272,19.0,41,1
369,1232,2021,19.0,0.8038302063941956,19.0,41,1
375,545,2021,9.0,0.8357102870941162,9.0,41,1
375,25,2021,9.0,0.8002127408981323,9.0,41,1
378,775,2021,37.0,0.9100332856178284,37.0,41,1
384,2256,2021,38.0,0.8266339898109436,38.0,41,1
384,3519,2021,38.0,0.8174116611480713,38.0,41,1
384,3196,2021,38.0,0.8012661933898926,38.0,41,1
394,890,2021,97.0,0.8267077207565308,"PCDD/Fs, dl-PCBs",41,1
394,817,2021,97.0,0.8031010627746582,"PCDD/Fs, dl-PCBs",41,1
397,1924,2021,0.0,0.8928961753845215,PAHs,41,1
397,2960,2021,0.0,0.8928130269050598,PAHs,41,1
397,2121,2021,0.0,0.8355653285980225,PAHs,41,1
397,2837,2021,0.0,0.8342400789260864,PAHs,41,1
397,2786,2021,0.0,0.8317984938621521,PAHs,41,1
397,1748,2021,0.0,0.8301026225090027,PAHs,41,1
397,666,2021,0.0,0.8290155529975891,PAHs,41,1
397,478,2021,0.0,0.8266803026199341,PAHs,41,1
397,1450,2021,0.0,0.825985848903656,PAHs,41,1
397,3396,2021,0.0,0.8235822916030884,PAHs,41,1
397,1158,2021,0.0,0.8231831789016724,PAHs,41,1
397,3756,2021,0.0,0.8209912776947021,PAHs,41,1
397,1109,2021,0.0,0.8173307180404663,PAHs,41,1
